,Municipality,Place Name,Suburb,Latitude,Longitude,Sports Played,Number of Field Courts,Field Surface Type,Facility Condition,Changerooms,Address,Facility Name,Categories,Historical Information,Url
609,Mornington Peninsula Shire Council,Emil Madsen Reserve,Mount Eliza,-38.217713,145.097133,Australian Rules Football,3.0,Grass,3. Average,"Male, Umpire/Officials",261 Wooralla Drive Mount Eliza 3930,,"['Mornington Peninsula Shire Council', 'Mount Eliza', 'Sports', 'Football']",,
610,Mornington Peninsula Shire Council,Ferrero Reserve,Mount Martha,-38.265336,145.024577,Australian Rules Football,2.0,Grass,2. Poor,"Male, Umpire/Officials",37 Seppelt Avenue Mount Martha 3934,,"['Mornington Peninsula Shire Council', 'Mount Martha', 'Sports', 'Football']",,
611,Mornington Peninsula Shire Council,Fruit Growers Reserve,Sommerville,-38.225505,145.17381800000000,Australian Rules Football,1.0,Grass,1. Very Poor,,328 Jones Road Sommerville 3912,,"['Mornington Peninsula Shire Council', 'Sommerville', 'Sports', 'Football']",,
612,Mornington Peninsula Shire Council,Hastings Park,Hastings,-38.296852,145.18750500000000,Australian Rules Football,2.0,Grass,3. Average,"Male, Umpire/Officials",159 Marine Parade Hastings 3915,,"['Mornington Peninsula Shire Council', 'Hastings', 'Sports', 'Football']",,
613,Mornington Peninsula Shire Council,Howard Parker Reserve,Mount Eliza,-38.181794,145.086775,Australian Rules Football,1.0,Grass,3. Average,Unisex,100 Canadian Bay Road Mount Eliza 3930,,"['Mornington Peninsula Shire Council', 'Mount Eliza', 'Sports', 'Football']",,
614,Mornington Peninsula Shire Council,Moorooduc Recreation Reserve,Moorooduc,-38.256408,145.10394,Australian Rules Football,1.0,Grass,4. Good,Unisex,700 Derril Road Moorooduc 3933,,"['Mornington Peninsula Shire Council', 'Moorooduc', 'Sports', 'Football']",,
615,Mornington Peninsula Shire Council,Narambi Reserve,Mornington,-38.227537,145.058727,Australian Rules Football,1.0,Grass,2. Poor,"Female, Male",15 Narambi Road Mornington 3931,,"['Mornington Peninsula Shire Council', 'Mornington', 'Sports', 'Football']",,
616,Mornington Peninsula Shire Council,Olympic Park Reserve,Rosebud,-38.369821,144.894599,Australian Rules Football,2.0,Grass,2. Poor,"Female, Male, Umpire/Officials",193 East Bourne Road Rosebud 3939,,"['Mornington Peninsula Shire Council', 'Rosebud', 'Sports', 'Football']",,
617,Mornington Peninsula Shire Council,Red Hill Recreation Reserve,Red Hill,-38.368378,145.012791,Australian Rules Football,1.0,Grass,5. Very Good,"Male, Umpire/Officials",184 Arthurs Seat Road Red Hill 3937,,"['Mornington Peninsula Shire Council', 'Red Hill', 'Sports', 'Football']",,
618,Mornington Peninsula Shire Council,RJ Rowley Recreation Reserve,Rye,-38.373214,144.812217,Australian Rules Football,1.0,Grass,3. Average,"Male, Umpire/Officials",20 Melbourne Road Rye 3941,,"['Mornington Peninsula Shire Council', 'Rye', 'Sports', 'Football']",,
619,Mornington Peninsula Shire Council,Somerville Recreation Reserve,Somerville,-38.230318,145.17531,Australian Rules Football,1.0,Grass,3. Average,"Male, Umpire/Officials",307 Jones Road Somerville 3912,,"['Mornington Peninsula Shire Council', 'Somerville', 'Sports', 'Football']",,
620,Mornington Peninsula Shire Council,Tyabb Central Recreation Reserve,Tyabb,-38.27439,145.200903,Australian Rules Football,1.0,Grass,3. Average,Male,1580 Frankston-Flinders Road Tyabb 3913,,"['Mornington Peninsula Shire Council', 'Tyabb', 'Sports', 'Football']",,
621,Mornington Peninsula Shire Council,David Collins Leisure Centre,Mornington,-38.237161,145.052227,Badminton,2.0,Wooden Flooring,3. Average,"Female, Male",350 Dunns Road Mornington 3931,,"['Mornington Peninsula Shire Council', 'Mornington', 'Sports', 'Badminton']",,
622,Mornington Peninsula Shire Council,Sommerville Recreation & Community Centre,Sommerville,-38.225158,145.172387,Badminton,2.0,Wooden Gymnasium,3. Average,"Female, Male",14 Edward Street Sommerville 3912,,"['Mornington Peninsula Shire Council', 'Sommerville', 'Sports', 'Badminton']",,
623,Mornington Peninsula Shire Council,CB Wilson Reserve,Mornington,-38.226527,145.036023,Baseball,2.0,Grass,3. Average,Unisex,35 Wilsons Road Mornington 3931,,"['Mornington Peninsula Shire Council', 'Mornington', 'Sports', 'Baseball']",,
624,Mornington Peninsula Shire Council,Tyabb Central Reserve,Tyabb,-38.262193,145.188857,Baseball,1.0,Grass,,,1562 Frankston-Flinders Road Tyabb 3913,,"['Mornington Peninsula Shire Council', 'Tyabb', 'Sports', 'Baseball']",,
625,Mornington Peninsula Shire Council,Bittern Memorial Centre,Bittern,-38.340223,145.168447,Basketball,1.0,Wooden Gymnasium,4. Good,"Female, Male, Umpire/Officials",101 Hendersons Road Bittern 3918,,"['Mornington Peninsula Shire Council', 'Bittern', 'Sports', 'Basketball']",,
626,Mornington Peninsula Shire Council,Hastings Community Hub (Fitness & Leisure Centre),Hastings,-38.297198,145.184966,Basketball,1.0,Wooden Gymnasium,5. Very Good,"Female, Male",1973 Frankston-Flinders Road Hastings 3915,,"['Mornington Peninsula Shire Council', 'Hastings', 'Sports', 'Basketball']",,
627,Mornington Peninsula Shire Council,Mornington Indoor Sports,Mornington,-38.235462,145.061831,Beach Volleyball,,,,,7 Milgate Drive Mornington 3931,,"['Mornington Peninsula Shire Council', 'Mornington', 'Sports']",,
628,Mornington Peninsula Shire Council,AR & F Ditterich Reserve,Main Ridge,-38.400078,144.969324,Cricket,1.0,Synthetic Pitch,4. Good,Male,431 Main Creek Road Main Ridge 3928,,"['Mornington Peninsula Shire Council', 'Main Ridge', 'Sports', 'Cricket']",,
629,Mornington Peninsula Shire Council,Graham Myers Recreation Reserve,Bittern,-38.340223,145.168447,Cricket,1.0,Synthetic Pitch,4. Good,"Female, Male, Umpire/Officials",101 Hendersons Road Bittern 3918,,"['Mornington Peninsula Shire Council', 'Bittern', 'Sports', 'Cricket']",,
630,Mornington Peninsula Shire Council,Mace Oval,Mount Martha,-38.271031,145.033831,Cricket,1.0,Synthetic Pitch,4. Good,,18 Tal Tals Cresent Mount Martha 3934,,"['Mornington Peninsula Shire Council', 'Mount Martha', 'Sports', 'Cricket']",,
631,Mornington Peninsula Shire Council,Portsea Recreation Reserve (Percy Cerutty Oval),Portsea,-38.32502,144.71248900000000,Cricket,1.0,Synthetic Pitch,3. Average,,33 Blair Road Portsea 3944,,"['Mornington Peninsula Shire Council', 'Portsea', 'Sports', 'Cricket']",,
632,Mornington Peninsula Shire Council,RM Hooper Reserve,Tuerong,-38.285802,145.137843,Cricket,1.0,Synthetic Pitch,2. Poor,Male,111 Graydens Road Tuerong 3933,,"['Mornington Peninsula Shire Council', 'Tuerong', 'Sports', 'Cricket']",,
633,Mornington Peninsula Shire Council,RW Stone Reserve,Somers,-38.389761,145.16358800000000,Cricket,1.0,Synthetic Pitch,4. Good,,68 Camp Hill Road Somers 3927,,"['Mornington Peninsula Shire Council', 'Somers', 'Sports', 'Cricket']",,
634,Mornington Peninsula Shire Council,Stringer Road Reserve,Blairgowrie,-38.36202700000000,144.764383,Cricket,1.0,Synthetic Pitch,3. Average,,464 Melbourne Road Blairgowrie 3942,,"['Mornington Peninsula Shire Council', 'Blairgowrie', 'Sports', 'Cricket']",,
635,Mornington Peninsula Shire Council,Civic Reserve,Mornington,-38.239039,145.052192,Croquet,2.0,Grass,3. Average,,350 Dunns Road Mornington 3931,,"['Mornington Peninsula Shire Council', 'Mornington', 'Sports', 'Croquet']",,
636,Mornington Peninsula Shire Council,Crib Point Circuit,Crib Point,-38.353571,145.18718,Cycling,1.0,Road,,,Disney Street Crib Point,,"['Mornington Peninsula Shire Council', 'Crib Point', 'Sports', 'Cycling']",,
637,Mornington Peninsula Shire Council,Somers Circuit,Somers,-38.389173,145.16586,Cycling,1.0,Road,,,"Camp Hill Road, Somers, Shire of Mornington Peninsula, Balnarring Beach, Victoria, 3927, Australia",,"['Mornington Peninsula Shire Council', 'Somers', 'Sports', 'Cycling']",,
638,Mornington Peninsula Shire Council,Emu Plains Reserve,Balnarring,-38.348183,145.142374,Equestrian,,,,,Coolart Road Balnarring 3918,,"['Mornington Peninsula Shire Council', 'Balnarring', 'Sports']",,
